keys;pl
PO72O2;żółtą obowiązuje przed oznakowaniem barwą białą
PO72O3;żółtą służy tylko pojazdom obsługującym roboty drogowe i nie ma zastosowania wobec innych pojazdów
PO72DO;B
PO73;Którędy powinien chodzić pieszy w strefie zamieszkania?
PO73O1;tylko po chodnikach
PO73O2;tylko po chodnikach lub wyznaczonych drogach dla pieszych
PO73O3;pieszy korzysta z całej szerokości drogi i ma pierwszeństwo przed pojazdem
PO73DO;C
PO74;Na drodze dla rowerów nie zabrania się zatrzymania:
PO74O1;roweru
PO74O2;wózka rowerowego
PO74O3;motoroweru
PO74DO;A
PO75;Pojazd wykonujący na drodze prace porządkowe lub remontowe powinien wysyłać:
PO75O1;niebieskie sygnały błyskowe
PO75O2;czerwone sygnały błyskowe
PO75O3;żółte sygnały błyskowe
PO75DO;C
PO76;Pieszemu zabrania się:
PO76O1;zwalniania kroku lub zatrzymania się bez uzasadnionej potrzeby podczas przechodzenia przez jezdnię lub torowisko
PO76O2;przechodzenia przez jezdnię w innych miejscach niż na wyznaczonych przejściach
PO76O3;wchodzenia na tory, gdy zakończono podnoszenie zapór
PO76DO;A
PO77;Co to jest kolumna pieszych?
PO77O1;grupa osób poruszająca się po jezdni
PO77O2;grupa ponad 20 dzieci
PO77O3;zorganizowana grupa pieszych prowadzona przez kierownika lub dowódcę
PO77DO;C
PO78;Kiedy dwóch pieszych może iść obok siebie po jezdni?
PO78O1;nigdy, ponieważ muszą iść jeden za drugim
PO78O2;na drogach o małym ruchu
PO78O3;na drogach o małym ruchu w warunkach dobrej widoczności
PO78DO;C
PO79;Jeżeli w kolumnie idzie obok siebie 5 osób, to jest to kolumna:
PO79O1;harcerska
PO79O2;policyjna lub wojskowa
PO79O3;dzieci do lat 10
PO79DO;B
PO80;Pieszy poruszający się po drodze po zmierzchu poza obszarem zabudowanym jest obowiązany używać elementów odblaskowych w sposób widoczny dla innych uczestników ruchu, gdy idzie:
PO80O1;po chodniku
PO80O2;po lewej stronie jezdni
PO80O3;po drodze przeznaczonej wyłącznie dla pieszych
PO80DO;B
PO81;Wózek rowerowy może mieć szerokość:
PO81O1;85 cm
PO81O2;90 cm
PO81O3;1 m
PO81DO;C
PO82;Kiedy można wyprzedzać pojazd uprzywilejowany?
PO82O1;zawsze, gdy jedzie z mniejszą prędkością od naszego pojazdu
PO82O2;tylko wtedy, gdy kierujący pojazdem uprzywilejowanym da nam odpowiedni sygnał
PO82O3;poza obszarem zabudowanym
PO82DO;C
PO83;Rowerzysta może korzystać z chodnika:
PO83O1;pod warunkiem, że jedzie prawa stroną chodnika i nie utrudnia ruchu pieszym
PO83O2;gdy brak jest drogi dla rowerów a ulicą poruszają się samochody ciężarowe
PO83O3;gdy między innymi brak jest drogi dla rowerów i widzi znak ograniczający prędkość do 70 km/h
PO83DO;C
PO84;Jeżeli przystanek tramwajowy znajduje się na wysepce położonej na środku jezdni i połączonej z przejściem dla pieszych, to przejście pieszych z chodnika do tego przystanku lub z powrotem jest dozwolone:
PO84O1;w dowolnym miejscu, gdy do przystanku zbliża się tramwaj
PO84O2;tylko po przejściu dla pieszych
PO84O3;zawsze w dowolnym miejscu, gdyż nadjeżdżające pojazdy powinny zatrzymać się i umożliwić pieszym przejście przez jezdnię
PO84DO;B
PO85;Jeżeli pasy ruchu są na jezdni wyznaczone, to kierujący pojazdem:
PO85O1;nie może zajmować więcej niż jednego pasa
PO85O2;nie może jechać po lewym pasie
PO85O3;może korzystać tylko z prawego pasa
PO85DO;A
PO86;Włączanie się do ruchu następuje przy wjeżdżaniu:
PO86O1;pojazdem szynowym z drogi podporządkowanej na drogę z pierwszeństwem
PO86O2;z drogi jednokierunkowej na dwukierunkową
PO86O3;pojazdem szynowym - na drogę z zajezdni lub na jezdnię z pętli
PO86DO;C
PO87;Dopuszcza się umieszczenie świateł odblaskowych barwy żółtej samochodowej:
PO87O1;z przodu wózka rowerowego
PO87O2;z tyłu motoroweru
PO87O3;na pedałach roweru
PO87DO;C
PO88;Zabrania się wyprzedzania pojazdu silnikowego jadącego po jezdni:
PO88O1;na skrzyżowaniach o ruchu okrężnym
PO88O2;przy dojeżdżaniu do wierzchołka wzniesienia
PO88O3;na skrzyżowaniach o ruchu kierowanym
PO88DO;B
PO89;Kierującemu rowerem zabrania się:
PO89O1;wyprzedzania na ostrych zakrętach na jezdniach o ruchu jednokierunkowym
PO89O2;cofania na jezdniach o ruchu jednokierunkowym
PO89O3;wyprzedzania pojazdu na przejściach dla pieszych i bezpośrednio przed nimi, z wyjątkiem przejścia, na którym ruch jest kierowany
PO89DO;C
PO90;Rowerzysta jest obowiązany:
PO90O1;włączyć światło przed wjechaniem do tunelu
PO90O2;mieć przy sobie kartę rowerową niezależnie od jego wieku
PO90O3;mieć lusterko wsteczne z lewej strony kierownicy
PO90DO;A
PO91;Przechodzenie przez jezdnię w miejscu o ograniczonej widoczności drogi:
PO91O1;jest dozwolone tylko na drogach o małym natężeniu ruchu
PO91O2;jest zawsze zabronione
PO91O3;jest dozwolone tylko na drogach jednokierunkowych
PO91DO;B
PO92;Światło pozycyjne roweru powinno być widoczne w nocy przy dobrej przejrzystości powietrza z odległości co najmniej:
PO92O1;150 m
PO92O2;100 m
PO92O3;200 m
PO92D0;A
PO93;Wyprzedzając innego rowerzystę należy zachować odstęp:
PO93O1;50 cm, pod warunkiem, że będzie bezpieczny
PO93O2;zawsze 2 m
PO93O3;bezpieczny jednak nie mniejszy niż 1 m
PO93DO;C
PO94;Dziecko w wieku 8 lat jadące rowerem jest:
PO94O1;pieszym
PO94O2;kierowcą
PO94O3;rowerzystą
PO94DO;A
PO95;W rowerze światła z przodu są barwy:
PO95O1;czerwonej
PO95O2;żółtej
PO95O3;białej lub żółtej selektywnej
PO95DO;C
PO96;Kiedy dwóch pieszych może iść obok siebie po jezdni?
PO96O1;nigdy, ponieważ muszą iść jeden za drugim
PO96O2;na drogach o małym ruchu
PO96O3;na drogach o małym ruchu w warunkach dobrej widoczności
PO96DO;C
PO97;Pieszemu zabrania się:
PO97O1;przechodzenia przez jezdnię w miejscu, w którym urządzenie zabezpieczające lub przeszkoda oddzielają drogę dla pieszych albo chodnik od jezdni, bez względu na to, po której stronie jezdni one się znajdują
PO97O2;wchodzenia na tory, gdy zapory są podniesione
PO97O3;wchodzenia na drogę oznaczoną znakiem „zakaz ruchu w obu kierunkach”
PO97DO;A
PO98;Dziecko w wieku 11 lat idące drogą dla rowerów po zmierzchu poza terenem zabudowanym:
PO98O1;musi iść z opiekunem
PO98O2;powinno mieć latarkę elektryczną
PO98O3;musi posiadać elementy odblaskowe widoczne dla innych uczestników ruchu
PO98DO;C
PO99;W czasie mgły po jezdni mogą poruszać się kolumny:
PO99O1;harcerskie
PO99O2;zabrania się ruchu wszelkich kolumn w czasie mgły
PO9903;wojskowe i policyjne
PO99DO;C
PO100;Pieszy poruszający się po drodze po zmierzchu poza obszarem zabudowanym nie jest obowiązany używać elementów odblaskowych w sposób widoczny dla innych uczestników ruchu, gdy idzie:
PO100O1;po chodniku
PO100O2;po lewej stronie jezdni
PO100O3;po drodze przeznaczonej dla pieszych i rowerów
PO100DO;A
PO101;Pas ruchu to:
PO101O1;połowa każdej jezdni
PO101O2;każdy z podłużnych pasów jezdni wystarczający do ruchu jednego rzędu pojazdów wielośladowych, oznaczony lub nieoznaczony znakami drogowymi
PO101O3;część drogi przeznaczona do ruchu pojazdów
PO101DO;B
PO102;Długość kolumny pieszych nie może przekraczać:
PO102O1;30 m
PO102O2;50 m
PO102O3;100 m
PO102DO;B
PO103;Jeżeli pieszy pełnosprawny korzysta z drogi dla rowerów, to:
PO103O1;jest obowiązany ustąpić pierwszeństwa rowerowi
PO103O2;ma pierwszeństwo przed kierującymi rowerami
PO103O3;musi zawsze zejść z tej drogi, gdy nadjeżdża rowerzysta niezależnie od szerokości drogi
PO103DO;A
PO104;Kierującemu rowerem zabrania się:
PO104O1;jazdy za pojazdem zaprzęgowym
PO104O2;jazdy bez trzymania co najmniej jednej ręki na kierownicy oraz nóg na pedałach
PO104O3;wyprzedzania na skrzyżowaniach o ruchu okrężnym
PO104DO;B
PO105;Rowerzyście zabrania się:
PO105O1;jazdy wzdłuż po przejściu dla pieszych
PO105O2;przejeżdżania przez chodnik
PO105O3;jazdy z jedna ręką na kierownicy
PO105DO;A
PO106;Zabrania się wyprzedzania:
PO106O1;na zakręcie oznaczonym znakami ostrzegawczymi
PO106O2;na zakrętach jezdni o ruchu jednokierunkowym
PO106O3;na skrzyżowaniach, na których ruch jest kierowany
PO106DO;A
PO107;Korzystanie z drogi dla pieszych przez kierującego rowerem jest:
PO107O1;zabronione
PO107O2;dozwolone bez ograniczeń
PO107O3;dozwolone wyjątkowo, gdy warunki pogodowe zagrażają bezpieczeństwu rowerzysty na jezdni (śnieg, silny wiatr, ulewa, gołoledź, gęsta mgła)
PO107DO;C
PO108;Niewidomy podczas samodzielnego poruszania się po drodze jest obowiązany:
PO108O1;mieć przy sobie odpowiednie dokumenty
PO108O2;mieć na prawym rękawie odpowiednie oznakowanie
PO108O3;nieść białą laskę w sposób widoczny dla innych uczestników ruchu
PO108DO;C
PO109;Zabrania się zatrzymania pojazdu:
PO109O1;w odległości 15 m od skrzyżowania
PO109O2;w tunelu, na moście lub na wiadukcie
PO109O3;przy lewej krawędzi jezdni na drodze jednokierunkowej na obszarze zabudowanym
PO109DO;B
PO110;Zabrania się postoju:
PO110O1;na poboczu obok linii przerywanej wyznaczającej krawędź jezdni
PO110O2;przed znakiem “zakaz postoju”
PO110O3;w strefie zamieszkania w innym miejscu niż wyznaczone w tym celu
PO110DO;C
PO111;Jeżeli pieszy musi poruszać się po jezdni, to:
PO111O1;może iść środkiem jezdni, pod warunkiem, że będzie ustępował pierwszeństwa nadjeżdżającym pojazdom
PO111O2;jest zobowiązany zajmować miejsce jak najbliżej jej krawędzi
PO111O3;powinien iść w odległości nie większej niż 1,5 m od jej krawędzi
PO111DO;B
PO112;Wyjeżdżając z drogi wewnętrznej na drogę publiczną, rowerzysta powinien ustępować pierwszeństwa:
PO112O1;tylko pojazdom nadjeżdżającym z prawej strony
PO112O2;tylko pojazdom nadjeżdżającym z lewej strony
PO112O3;wszystkim pojazdom i pieszym idącym drogą publiczną
PO112DO;C
PO113;Omijanie pojazdu, który jechał w tym samym kierunku i zatrzymał się przed przejściem dla pieszych w celu ustąpienia pierwszeństwa pieszym, jest:
PO113O1;dozwolone, jeżeli zachowamy szczególną ostrożność
PO113O2;zabronione
PO113O3;dozwolone, ale tylko na drogach jednokierunkowych
PO113DO;B
PO114;Co to jest przejście dla pieszych?
PO114O1;część jezdni, po której mogą przejść piesi
PO114O2;powierzchnia jezdni lub torowiska przeznaczona do przechodzenia przez pieszych, oznaczona odpowiednimi znakami drogowymi
PO114O3;część drogi w pobliżu skrzyżowania pomalowana białymi liniami
PO114DO;B
PO115;Liczba pieszych idących jezdnią w kolumnie wojskowej obok siebie nie może przekraczać (pod warunkiem, że kolumna nie zajmuje więcej niż połowy szerokości jezdni):
PO115O1;czterech
PO115O2;sześciu
PO115O3;ośmiu
PO115DO;B
PO116;Pieszy przechodząc przez jezdnię lub torowisko jest obowiązany:
PO116O1;zachować szczególną ostrożność
PO116O2;ma pierwszeństwo przed kierującymi pojazdami
PO116O3;musi przepuścić pojazdy ze swojej prawej strony
PO116DO;A
PO117;Pieszemu zabrania się:
PO117O1;wchodzenia na torowisko, gdy zapory lub półzapory są opuszczane lub opuszczanie ich rozpoczęto
PO117O2;korzystania z drogi dla rowerów w każdym przypadku
PO117O3;przechodzenia przez jezdnię w sąsiedztwie skrzyżowania, jeżeli nie ma wyznaczonego przejścia dla pieszych
PO117DO;A
PO118;Pieszy widząc jadący z przeciwka pojazd uprzywilejowany powinien:
PO118O1;zatrzymać się na jezdni, jeżeli nie ma chodnika
PO118O2;niezwłocznie usunąć się z jego drogi
PO118O3;iść jak najbliżej lewej krawędzi jezdni i obserwować jadący pojazd
PO118DO;B
PO119;Wózek rowerowy nie jest przeznaczony do przewozu:
PO119O1;osób
PO119O2;rzeczy
PO119O3;zwierząt domowych
PO119DO;C
PO120;Rowerzysta jest obowiązany korzystać:
PO120O1;z chodnika
PO120O2;z drogi dla pieszych
PO120O3;z pobocza, pod warunkiem, że nie utrudni ruchu pieszych
PO120DO;C
PO121;Pełnoletniemu rowerzyście zabrania się:
PO121O1;przewożenia pięcioletniego dziecka w specjalnym koszyku
PO121O2;jazdy bez karty rowerowej
PO121O3;jazdy rowerem bez hamulca
PO121DO;C
PO122;Zabrania się zawracania:
PO122O1;na skrzyżowaniach
PO122O2;w tunelu, na moście, wiadukcie lub drodze jednokierunkowej
PO122O3;tylko na drogach jednokierunkowych
PO122DO;B
PO123;Kierującemu rowerem zabrania się:
PO123O1;wyprzedzania na skrzyżowaniu o ruchu okrężnym
PO123O2;wyprzedzania na przejściach, na których ruch jest kierowany
PO123O3;omijania pojazdu, który jechał w tym samym kierunku, lecz zatrzymał się w celu ustąpienia pierwszeństwa pieszemu
PO123DO;C
PO124;Siedmiolatek jadący na rowerze może jechać:
PO124O1;samodzielnie po chodniku
PO124O2;samodzielnie po lewej stronie jezdni
PO124O3;po chodniku pod opieką osoby dorosłej
PO124DO;C
PO125;Kierującemu rowerem zabrania się:
PO125O1;czepiania się podczas jazdy innego roweru
PO125O2;wyprzedzania pieszego na drodze bez chodnika
PO125O3;wyprzedzania pieszego na drodze bez pobocza
PO125DO;A
PO126;Zabrania się zatrzymania pojazdu:
PO126O1;na przejeździe kolejowym, na przejeździe tramwajowym, na skrzyżowaniu oraz w odległości mniejszej niż 10 m od przejazdu lub skrzyżowania
PO126O2;przy lewej krawędzi na drodze jednokierunkowej
PO126O3;na poboczu obok linii przerywanej wyznaczającej krawędź jezdni
PO126DO;A
PO127;Zabrania się postoju:
PO127O1;przed  znakiem “zakaz zatrzymywania się”
PO127O2;za zatoką przy przystanku autobusowym
PO127O3;w miejscu utrudniającym wjazd  lub wyjazd, a w szczególności do i z bramy, garażu, parkingu i wnęki postojowej
PO127DO;C
PO128;Rowerzysta musi używać świateł, w które wyposażony jest rower:
PO128O1;przez całą dobę
PO128O2;od zmierzchu do świtu
PO128O3;od świtu do zmierzchu
PO128DO;B
PO129;Rowerzysta ma zakaz:
PO129O1;jazdy po chodniku w czasie złej widoczności spowodowanej mgłą lub ulewnym deszczem
PO129O2;korzystania z jezdni, jeśli droga dla rowerów lub pas ruchu dla rowerów są wyznaczone dla kierunku, w którym się porusza lub zamierza skręcić
PO129O3;zatrzymywania się na drodze jednokierunkowej
PO129DO;B
PO130;W czasie wyprzedzania przez inny pojazd, rowerzysta jest obowiązany:
PO130O1;zjechać jak najbardziej w prawo w celu ułatwienia wyprzedzania
PO130O2;zwiększyć prędkość jazdy
PO130O3;zatrzymać się, aby ułatwić wyprzedzanie
PO130DO;A
PO131;Rowerzysta, który wjechał do śluzy dla rowerów, po zmianie świateł na zielone powinien:
PO131O1;opuścić śluzę, a następnie kontynuować jazdę w zamierzonym kierunku, zajmując miejsce na jezdni zgodnie z przepisami prawa o ruchu drogowym
PO131O2;poczekać, aż wyprzedzą go stojące za nim pojazdy i wolno ruszyć do przodu
PO131O3;opuścić śluzę, a następnie poruszać się tylko w tym kierunku, w którym prowadzi pas ruchu dla rowerów
PO131DO;A
PO132;Liczba wózków rowerowych jadących w zorganizowanej kolumnie nie może przekraczać:
PO132O1;15
PO132O2;10
PO132O3;5
PO132DO;A
PO133;Pieszy idący po jezdni jest obowiązany:
PO133O1;zachować co najmniej 1 metr odstępu od wyprzedzających go pojazdów
PO133O2;ustępować pierwszeństwa nadjeżdżającym rowerzystom
PO133O3;ustępować pierwszeństwa pieszym idącym z przeciwnego kierunku
PO133DO;B
PO134;Idący w kolumnie pieszych o długości ponad 20 metrów w warunkach ograniczonej widoczności są obowiązani:
PO134O1;po lewej stronie z przodu i z tyłu używać elementów odblaskowych odpowiadających właściwym warunkom technicznym
PO134O2;po lewej stronie w pierwszej czwórce nieść dodatkowe latarki ze światłem czerwonym
PO134O3;po lewej stronie w ostatniej czwórce nieść dodatkowe latarki ze światłem białym
PO134DO;A
PO135;Na obszarze zabudowanym, na drodze dwujezdniowej lub po której kursują tramwaje po torowisku wyodrębnionym z jezdni, pieszy przechodząc przez jezdnię lub torowisko jest obowiązany korzystać:
PO135O1;tylko z chodnika
PO135O2;tylko z przejścia dla pieszych
PO135O3;z całej szerokości jezdni, ustępując pierwszeństwa pojazdom
PO135DO;B
PO136;Jeżeli wysepka dla pasażerów na przystanku komunikacji publicznej łączy się z przejściem dla pieszych, przechodzenie do przystanku i z przystanku jest dozwolone:
PO136O1;tylko po tym przejściu
PO136O2;w dowolny bezpieczny sposób
PO136O3;tylko po przejściach nadziemnych dla pieszych
PO136DO;A
PO137;Jeżeli przejście dla pieszych wyznaczone jest na drodze o dwóch jezdniach to przejście:
PO137O1;na każdej jezdni uważa się za przejście odrębne
PO137O2;uważa się za jedno
PO137O3;uważa się za przejścia odrębne, gdy torowiska oddzielono od jezdni łańcuchami
PO137DO;A
PO138;Pieszemu zabrania się:
PO138O1;przechodzenia przez jezdnię w miejscu o ograniczonej widoczności drogi
PO138O2;wchodzenia na tory, gdy rozpoczęto podnoszenie zapór
PO138O3;chodzenia w czasie mgły bez świateł odblaskowych
PO138DO;A
PO139;Ile najwięcej rowerów jednośladowych może jechać w zorganizowanej kolumnie?
PO139O1;5
PO139O2;10
PO139O3;15
PO139DO;C
PO140;Rower i wózek rowerowy może być poruszany:
PO140O1;pomocniczym silnikiem spalinowym
PO140O2;pomocniczym napędem elektrycznym zasilanym prądem
PO140O3;tylko siłą mięśni osoby jadącej tym pojazdem
PO140DO;B
PO141;Rowerzyście zabrania się:
PO141O1;jazdy wzdłuż po przejściu dla pieszych
PO141O2;jazdy obok drugiego rowerzysty na drodze dla rowerów
PO141O3;zatrzymania na poboczu obok linii przerywanej wyznaczającej krawędź jezdni
PO141DO;A
PO142;Dopuszczalna prędkość jazdy rowerem w strefie zamieszkania wynosi:
PO142O1;15 km/h
PO142O2;20 km/h
PO142O3;25 km/h
PO142DO;B
PO143;Kierujący pojazdem może zmienić kierunek jazdy lub zajmowany pas ruchu:
PO143O1;tylko z zachowaniem szczególnej ostrożności
PO143O2;tylko pod warunkiem, że nie spowoduje to zajechania drogi innym kierującym
PO143O3;tylko z zachowaniem szczególnej ostrożności oraz pod warunkiem, że nie spowoduje to zajechania drogi innym kierującym
PO143DO;C
PO144;Kierującemu rowerem zabrania się wjeżdżania na skrzyżowanie:
PO144O1;gdy kierujący ruchem stoi bokiem do kierującego rowerem
PO144O2;jeżeli nadawany jest sygnał świetlny żółty migający
PO144O3;jeżeli na skrzyżowaniu lub za nim nie ma miejsca do kontynuowania jazdy
PO144DO;C
PO145;Rowerzysta w pierwszej kolejności powinien jechać:
PO145O1;po prawej stronie jezdni
PO145O2;po chodniku
PO145O3;po poboczu
PO145DO;C
PO146;Zabrania się zatrzymania roweru:
PO146O1;na jezdni wzdłuż linii ciągłej oraz w pobliżu jej punktów krańcowych, jeżeli  zmusiłoby to innych kierujących pojazdami wielośladowymi do najeżdżania  na tę linię
PO146O2;na poboczu obok linii przerywanej wyznaczającej krawędź jezdni
PO146O3;przed znakiem: zakaz zatrzymywania się
PO146DO;A
PO147;W okresie od zmierzchu do świtu kierujący rowerem jest obowiązany używać podczas jazdy świateł:
PO147O1;pozycyjnych
PO147O2;mijania
PO147O3;drogowych
PO147DO;A
PO148;Rower powinien być wyposażony:
PO148O1;w dwa niezależne, skutecznie działające hamulce
PO148O2;w co najmniej jeden skutecznie działający hamulec
PO148O3;w światło mijania
PO148DO;B
PO149;Szerokość roweru nie może przekraczać:
PO149O1;150 cm
PO149O2;100 cm
PO149O3;90 cm
PO149DO;C
PO150;W strefie ruchu prędkość jest ograniczona:
PO150O1;do 50 km/h w godz. 5:00 – 23:00
PO150O2;do 20 km/h
PO150O3;do 15 km/h
PO150DO;A
PO151;Rower może być wyposażony w uruchamiany naciskiem na pedały pomocniczy napęd elektryczny o znamionowej mocy ciągłej nieprzekraczającej 250 W i zasilany prądem o napięciu nie wyższym niż:
PO151O1;48 V
PO151O2;12 V
PO151O3;24 V
PO151DO;A
PO152;Jadący rowerem obowiązany jest do ustąpienia pierwszeństwa pieszym:
PO152O1;na jezdni w strefie ruchu
PO152O2;na drodze dla pieszych
PO152O3;na drodze dla rowerów
PO152DO;B
PO153;Podczas wyprzedzania innego rowerzysty należy zachować odstęp:
PO153O1;minimum 0,5 metra
PO153O2;bezpieczny i nie mniejszy niż 1 metr
PO153O3;bezpieczny, ale przepisy nie określają minimalnej odległości
PO153DO;B
PO154;Pieszemu zabrania się:
PO154O1;przechodzenia przez jezdnię w innych miejscach niż wyznaczone w tym celu
PO154O2;zwalniania kroku lub zatrzymywania się bez uzasadnionej potrzeby podczas przechodzenia przez jezdnię lub torowisko
PO154O3;w strefie zamieszkania chodzenia po jezdni, jeżeli jadą po niej pojazdy samochodowe
PO154DO;B
PO155;Osoba niepełnosprawna idąca drogą dla rowerów:
PO155O1;jest obowiązana ustąpić pierwszeństwa rowerowi
PO155O2;nie jest obowiązana ustąpić pierwszeństwa rowerowi
PO155O3;osoba niepełnosprawna nie może korzystać z drogi dla rowerów
PO155DO;B
PO156;Poza przejściami dla pieszych przechodzenie przez jezdnię jest dozwolone tylko pod warunkiem:
PO156O1;spowodowania zagrożenia bezpieczeństwa ruchu
PO156O2;pieszy jest obowiązany ustąpić pierwszeństwa pojazdom i do przeciwległej krawędzi jezdni powinien iść drogą najkrótszą (prostopadle do osi jezdni)
PO156O3;utrudnienia ruchu pojazdów
PO156DO;B
PO157;Kiedy piesi mogą przekraczać jezdnię poza przejściami dla pieszych?
PO157O1;nigdy
PO157O2;gdy odległość od przejścia jest większa niż 100 m
PO157O3;tylko poza obszarem zabudowanym
PO157DO;B
PO158;Kolumna pieszych powyżej 10 lat może poruszać się:
PO158O1;po lewej stronie jezdni
PO158O2;tylko po chodniku
PO158O3;po prawej stronie jezdni
PO158DO;C
PO159;Co to jest ruch kierowany?
PO159O1;ruch nakierowany odpowiednimi strzałkami umieszczonymi na jezdni
PO159O2;ruch otwierany i zamykany za pomocą sygnalizacji świetlnej albo przez uprawnioną osobę
PO159O3;ruch według ustawionych przed skrzyżowaniem znaków
PO159DO;B
PO160;W czasie mgły rowerzysta:
PO160O1;nie może jechać po jezdni
PO160O2;może jechać po poboczu bez włączonych świateł
PO160O3;musi włączyć światła pozycyjne i jechać jak najbliżej krawędzi jezdni
PO160DO;C
PO161;Obowiązek poruszania się po poboczu, chyba że nie nadaje się ono do jazdy lub ruch pojazdu utrudniałby ruch pieszych dotyczy kierującego:
PO161O1;tylko rowerem
PO161O2;wózkiem rowerowym
PO161O3;tylko motorowerem
PO161DO;B
PO162;Za włączającego się do ruchu uważamy rowerzystę:
PO162O1;wyjeżdżającego ze strefy zamieszkania
PO162O2;wjeżdżającego do strefy zamieszkania
PO162O3;wjeżdżającego na skrzyżowanie po zmianie sygnału świetlnego na zielony
PO162DO;A
PO163;W strefie zamieszkania dopuszczalna prędkość pojazdów wynosi:
PO163O1;20 km/h
PO163O2;45 km/h
PO163O3;60 km/h
PO163DO;A
PO164;Wyprzedzanie rowerzysty, który sygnalizuje zamiar skrętu w lewo, może odbywać się:
PO164O1;z dowolnej strony
PO164O2;tylko z jego prawej strony
PO164O3;tylko z jego lewej strony
PO164DO;B
PO165;Kierującemu rowerem zabrania się:
PO165O1;wyprzedzania kolumny pieszych
PO165O2;jazdy tuż za kolumną pieszych
PO165O3;rozdzielania kolumny pieszych
PO165DO;C
PO166;Kierujący rowerem powinien użyć sygnału dźwiękowych w razie:
PO166O1;zbliżania się do grupy uczniów
PO166O2;rozpoczęcia wyprzedzania
PO166O3;gdy zachodzi konieczność ostrzeżenia o niebezpieczeństwie
PO166DO;C
PO167;Zabrania się zatrzymania roweru:
PO167O1;w odległości 15 m od przejazdu kolejowego
PO167O2;na jezdni obok linii przerywanej wyznaczającej krawędź jezdni
PO167O3;tuż za zatoką przy przystanku komunikacji publicznej
PO167DO;B
PO168;W okresie od świtu do zmierzchu kierujący rowerem podczas jazdy poza terenem zabudowanym w warunkach dobrej widoczności powietrza:
PO168O1;musi mieć włączone światła pozycyjne
PO168O2;nie musi mieć włączonego światła
PO168O3;musi mieć włączone światła mijania
PO168DO;B
PO169;Obowiązkowym wyposażeniem roweru jest światło:
PO169O1;odblaskowe barwy białej o kształcie innym niż kwadrat umieszczone z przodu roweru
PO169O2;odblaskowe żółte umieszczone w pedałach roweru
PO169O3;odblaskowe barwy czerwonej o kształcie innym niż trójkąt umieszczone z tyłu roweru
PO169DO;C
PO170;Długość zespołu pojazdów złożonego z wózka rowerowego i przyczepy nie może przekraczać:
PO170O1;3 m
PO170O2;3,75 m
PO170O3;4 m
PO170DO;C
PO171;Kartę rowerową wydaje uczniowi szkoły podstawowej:
PO171O1;dyrektor szkoły
PO171O2;policjant ruchu drogowego
PO171O3;naczelnik wydziału komunikacji na wniosek dyrektora szkoły
PO171DO;A
PO172;Liczba wózków rowerowych jadących w zorganizowanej kolumnie nie może przekraczać:
PO172O1;5
PO172O2;10
PO172O3;15
PO172DO;C
PO173;Jadąc w kolumnie rowerzystów, należy pamiętać, że odległość od poprzedzającego roweru:
PO173O1;wynosi minimum 3 metry, lecz nie powinna być krótsza niż droga hamowania
PO173O2;nie jest określona
PO173O3;musi wynosić co najmniej 5 metrów
PO173DO;B
PO174;Nie wymaga się odrębnego uprawnienia do:
PO174O1;prowadzenia po jezdni zorganizowanej kolumny pieszych przez osobę, która ukończyła 18 lat
PO174O2;jazdy motorowerem przez osobę, która ukończyła 14 lat
PO174O3;jazdy rowerem przez osobę, która ukończyła 11 lat
PO174DO;A
PO175;Jaka powinna być odległość między kolumnami pieszych?
PO175O1;50 m
PO175O2;co najmniej 100 m
PO175O3;co najmniej 200 m
PO175DO;B
PO176;Mama czteroletniego Bartka w drodze do przedszkola mówi: „już za rok twoja starsza siostra będzie mogła odprowadzać ciebie sama do przedszkola”. Ile lat ma siostra Bartka?
PO176O1;9
PO176O2;10
PO176O3;17
PO176DO;A
PO177;Czy kolumna dziewięcioletnich pieszych może być prowadzona po jezdni?
PO177O1;może prawą stroną jezdni pod opieką wychowawcy
PO177O2;nie
PO177O3;może lewą stroną jezdni w warunkach dobrej widoczności pod nadzorem osoby pełnoletniej
PO177DO;C
PO178;Dla naszego kierunku spaceru jest chodnik tylko po prawej stronie drogi. Po lewej nie ma pobocza nadającego się do chodzenia. Którędy należy iść?
PO178O1;tylko po chodniku
PO178O2;po lewej stronie jezdni
PO178O3;po chodniku albo po lewej stronie jezdni
PO178DO;A
PO179;Osoba prowadząca pojazd napędzany silnikiem jest obowiązana poruszać się:
PO179O1;po prawej stronie drogi w razie braku pobocza
PO179O2;zawsze po prawej stronie drogi
PO179O3;po poboczu, chyba że nie nadaje się ono do jazdy lub ruch pojazdu utrudniałby ruch pieszych
PO179DO;C
PO180;Którędy powinien chodzić pieszy w strefie zamieszkania?
PO180O1;tylko po chodnikach
PO180O2;tylko po chodnikach lub wyznaczonych drogach dla pieszych
PO180O3;pieszy korzysta z całej szerokości drogi i ma pierwszeństwo przed rowerzystą
PO180DO;C
PO181;Rowerzyście zabrania się:
PO181O1;jazdy obok drugiego rowerzysty na boisku szkolnym
PO181O2;wjeżdżania na tory, gdy zapory są podnoszone
PO181O3;jazdy w dzień bez włączonych świateł przy dobrej przejrzystości powietrza
PO181DO;B
PO182;Na autostradzie i drodze ekspresowej zabrania się:
PO182O1;omijania pojazdów unieruchomionych z przyczyn technicznych
PO182O2;jazdy rowerem
PO182O3;przekraczania prędkości 90 km/h przez samochody osobowe bez przyczep
PO182DO;B
